,Ch,Du,En,Fi,Fr,It,Po,Sp
1,5.276940643052247,5.424648423080578,5.647110029610977,5.714854822066001,5.649170691543011,5.878962069503643,5.497358189178959,5.831744857094215
2,5.283412019986141,5.422817379608659,5.65227295840671,5.7055004252431045,5.644388207333409,5.879272235699783,5.502075703700797,5.821253387957521
3,5.291922943648271,5.416858435686761,5.6549450569865005,5.7015343967715015,5.649602580876807,5.875844143772153,5.508340749153283,5.824715169940239
4,5.298705449888333,5.41605883454361,5.655501851687384,5.706145115886684,5.646884154824209,5.875922953166076,5.507085871890928,5.8244289078384535
5,5.2966563436972685,5.413495558234213,5.659960560154076,5.7057111341127,5.647809436416239,5.876701175622089,5.508652649768961,5.825442031426431
6,5.2984084005184835,5.413140457344082,5.6629288324318265,5.705967820553628,5.649973971554463,5.876075096411142,5.509913813905916,5.82345458227712
7,5.297341860173709,5.411284899143177,5.664287444236349,5.707400534696108,5.651525535190464,5.878186189168925,5.512175987096891,5.823573583402431
8,5.2976174620060625,5.411265858382247,5.665353846317184,5.707558295115443,5.651429872872961,5.877720305237037,5.511704146913632,5.8233085601718795
9,5.298045605781334,5.412525525996681,5.664503498192729,5.706717076073091,5.651463496803426,5.877831802872654,5.511973208870515,5.823034449905026
10,5.297279489652049,5.41230862810923,5.6637677210646595,5.706670928850285,5.653325833180887,5.87783629836356,5.510481179741142,5.823042161366435
avr,5.29363302184039,5.415440400012924,5.65906317990884,5.7068060549368544,5.649557378059587,5.8774352269817065,5.507976150022102,5.824399769137974
std,0.007114083697564022,0.004513008089152955,0.005941133377313547,0.0031234832750809956,0.002499225686740706,0.0011779854866127688,0.004544032633878767,0.002674145893064371
